year,spectators_millions
1968,376.638
1969,364.641
1970,330.859
1971,295.299
1972,295.162
1973,278.28
1974,262.932
1975,255.786
1976,245.115
1977,211.91
1978,220.11
1979,200.485
1980,175.995
1981,173.659
1982,155.956
1983,141.084
1984,118.592
1985,101.117
1986,87.337
1987,85.721
1988,69.634
1989,78.057
1990,78.511
1991,79.096
1992,86.302
1993,87.704
1994,89.097
1995,94.6
1996,104.265
1997,105.044
1998,107.468
1999,126.236
2000,134.507
2001,143.289
2002,139.805
2003,135.765
2004,141.004
2005,123.7
2006,122.955
2007,117.381
2008,107.94
2009,110.668
2010,101.059
2011,98.201
2012,93.354
2013,76.773
2014,88.145
2015,95.044
2016,102.453
2017,100.173
2018,97.661
2019,104.985
2020,27.0
2021,41.7
2022,59.1
2023,76.7
2024,72.9
